,Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
665,Albania,ALB,2019,1.4142,12531.788,2873883.0,
924,Algeria,DZA,2019,2.9881,11787.492,42705372.0,
1556,Angola,AGO,2019,5.4423,7159.579,32353592.0,
1815,Anguilla,AIA,2019,1.2884,15177.923,15408.0,
2199,Argentina,ARG,2019,1.9938,21826.838,44745516.0,
2458,Armenia,ARM,2019,1.575,14735.138,2820604.0,
2717,Aruba,ABW,2019,1.4858,32613.762,106458.0,
3158,Australia,AUS,2019,1.67,54147.008,25357168.0,
3417,Austria,AUT,2019,1.4646,53344.508,8879939.0,
3677,Azerbaijan,AZE,2019,1.8345,15858.924,10232761.0,
3937,Bahamas,BHS,2019,1.3979,33088.543,404563.0,
4196,Bahrain,BHR,2019,1.8574,46964.977,1494195.0,
4455,Bangladesh,BGD,2019,2.031,4658.01,165516224.0,
4714,Barbados,BRB,2019,1.6233,12217.291,280193.0,
4970,Belarus,BLR,2019,1.4636,21665.938,9673971.0,
5229,Belgium,BEL,2019,1.5871,44839.68,11510569.0,
5488,Belize,BLZ,2019,2.1058,5602.4204,389103.0,
5747,Benin,BEN,2019,5.1299,3245.0645,12290443.0,
6006,Bermuda,BMU,2019,1.3324,51003.266,63833.0,
6094,Bhutan,BTN,2019,1.4601,11778.3955,767467.0,
6353,Bolivia,BOL,2019,2.6882,8584.631,11777318.0,
6684,Bosnia and Herzegovina,BIH,2019,1.3685,13795.342,3360718.0,
6943,Botswana,BWA,2019,2.8834,16484.375,2499705.0,
7203,Brazil,BRA,2019,1.7026,14593.961,211782880.0,
7463,British Virgin Islands,VGB,2019,0.948,37368.71,30631.0,
7544,Brunei,BRN,2019,1.8195,73249.19,438058.0,
7803,Bulgaria,BGR,2019,1.5751,21347.125,7052536.0,
8062,Burkina Faso,BFA,2019,4.971,2120.1392,20951638.0,
8321,Burundi,BDI,2019,5.2713,790.046,11874838.0,
8580,Cambodia,KHM,2019,2.4019,4500.0527,16207746.0,
8839,Cameroon,CMR,2019,4.6226,3651.4968,25782342.0,
9098,Canada,CAN,2019,1.4517,49884.055,37522584.0,
9357,Cape Verde,CPV,2019,1.9322,7271.0767,577037.0,
9668,Central African Republic,CAF,2019,6.0081,978.34937,5209329.0,
9927,Chad,TCD,2019,6.4118,1615.0825,16126868.0,
10187,Chile,CHL,2019,1.5452,23252.557,19039484.0,
10446,China,CHN,2019,1.4961,14128.812,1421864064.0,
10707,Colombia,COL,2019,1.765,14057.756,50187404.0,
10966,Comoros,COM,2019,4.1248,3208.8936,790993.0,
11206,Congo,COG,2019,4.2964,4657.116,5570736.0,
11550,Costa Rica,CRI,2019,1.6319,18522.178,5084527.0,
11809,Cote d'Ivoire,CIV,2019,4.5381,5035.349,26147544.0,
12068,Croatia,HRV,2019,1.468,26001.002,4129749.0,
12586,Curacao,CUW,2019,1.6618,21161.58,193119.0,
12658,Cyprus,CYP,2019,1.3322,32301.82,1228840.0,
12917,Czechia,CZE,2019,1.7096,37521.227,10536876.0,
13261,Democratic Republic of Congo,COD,2019,6.2525,1021.6937,89906896.0,
13520,Denmark,DNK,2019,1.7004,54027.15,5795879.0,
13779,Djibouti,DJI,2019,2.8915,6132.4233,1073999.0,
14038,Dominica,DMA,2019,1.6106,10327.737,71446.0,
14295,Dominican Republic,DOM,2019,2.3441,17926.738,10881886.0,
14822,Ecuador,ECU,2019,2.0876,11235.628,17343742.0,
15081,Egypt,EGY,2019,3.0009,12059.8955,105618672.0,
15340,El Salvador,SLV,2019,1.8383,8116.269,6280222.0,
15599,Equatorial Guinea,GNQ,2019,4.4286,24712.76,1553037.0,
16117,Estonia,EST,2019,1.6727,33852.387,1327039.0,
16376,Eswatini,SWZ,2019,2.9212,7827.8228,1169620.0,
16635,Ethiopia,ETH,2019,4.3226,2720.7412,114120592.0,
17757,Fiji,FJI,2019,2.5195,13753.734,918472.0,
18007,Finland,FIN,2019,1.3566,44928.516,5521539.0,
18266,France,FRA,2019,1.83,43755.062,64399760.0,
18731,Gabon,GAB,2019,3.6155,15492.227,2242788.0,
18990,Gambia,GMB,2019,4.8693,2408.8591,2508882.0,
19249,Georgia,GEO,2019,2.0108,17055.666,3770814.0,
19508,Germany,DEU,2019,1.5403,51190.89,83148144.0,
19767,Ghana,GHA,2019,3.6827,5363.2695,31522294.0,
20100,Greece,GRC,2019,1.3174,27201.492,10574026.0,
20463,Grenada,GRD,2019,2.0425,15374.282,122737.0,
20928,Guatemala,GTM,2019,2.6101,7769.828,17106338.0,
21261,Guinea,GIN,2019,4.5763,2286.8052,12877537.0,
21520,Guinea-Bissau,GNB,2019,4.172,1850.2985,1970460.0,
21779,Guyana,GUY,2019,2.4397,13010.421,798761.0,
22038,Haiti,HTI,2019,2.9192,1554.0212,11160441.0,
22560,Honduras,HND,2019,2.4268,5428.0635,9958832.0,
22819,Hong Kong,HKG,2019,1.0342,54810.02,7496121.0,
23078,Hungary,HUN,2019,1.5486,29236.4,9771799.0,
23337,Iceland,ISL,2019,1.7464,53011.742,360787.0,
23596,India,IND,2019,2.109,6711.385,1383112064.0,
